site_id,all_datetime,value
03805_PRV_2,2019-11-29 04:00:00,
03805_PRV_2,2019-11-29 04:15:00,
03805_PRV_2,2019-11-29 04:30:00,
03805_PRV_2,2019-11-29 04:45:00,
03805_PRV_2,2019-11-29 05:00:00,
03805_PRV_2,2019-11-29 05:15:00,
03805_PRV_2,2019-11-29 05:30:00,
03805_PRV_2,2019-11-29 05:45:00,
03805_PRV_2,2019-11-29 06:00:00,
03805_PRV_2,2019-11-29 06:15:00,
03805_PRV_2,2019-11-29 06:30:00,47.2
03805_PRV_2,2019-11-29 06:45:00,53.16
03805_PRV_2,2019-11-29 07:00:00,62.96
03805_PRV_2,2019-11-29 07:15:00,66.72
03805_PRV_2,2019-11-29 07:30:00,71.2
03805_PRV_2,2019-11-29 07:45:00,77.04
